32 b,Logistics,1659,-7,-6,1770,-40,1802,1,1719,1715,1,17,1636,5,1373,1373,5,-13,1058,-13,-28,1146,1146,-28,-11,1145,14,1087,-4,1056,-1,1167,-3,1151,-10,1233,-10,-32,1187,1187,-32,-8,1191,-1,1402,8,1449,-17,1441,-12,1392,-7,1438,24,1602,3,1611,2,1709,5,1746
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,Hardware Technology & Equipment,43,0,0,45,1,55,0,59,59,0,0,56,0,41,41,0,-2,29,-2,2,37,37,2,0,40,0,38,0,47,0,45,-1,45,0,44,0,0,43,43,0,0,44,0,45,0,45,-1,45,0,42,0,43,0,43,-1,40,-3,44,-2,43
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Telecommunications Equipment,155,0,1,159,1,151,-5,144,143,-5,-1,125,0,94,94,0,1,79,1,-2,92,92,-2,-2,91,-1,86,-6,76,-7,96,-1,127,-2,98,-2,-1,91,91,-1,-3,105,-2,106,0,107,-24,81,-2,76,-6,73,-5,68,-7,62,0,80,1,86
32 f,Surface Transportation,38,0,0,39,0,38,0,37,37,0,0,34,0,26,26,0,0,27,0,0,25,25,0,0,24,0,22,0,22,0,23,0,23,0,23,0,0,23,23,0,0,27,0,27,0,31,0,29,0,30,0,28,-1,29,0,31,0,32,0,31
34,Sovereign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Retailing,34338,104,-47,35264,158,37787,359,44171,44171,359,2000,43172,-255,36522,36522,-255,-285,31849,-285,17,32787,32787,17,-78,35185,191,34244,136,34738,796,37682,371,38286,126,38358,126,-61,38007,38007,-61,126,40908,616,43299,-571,43774,-128,43650,-89,41626,-35,42904,585,47249,758,49746,858,55005,241,56567
32 g,Transport Related Services,9488,117,14,9263,-37,9403,-74,9235,9235,-74,-40,8356,-68,6220,6220,-68,58,5432,58,34,6316,6316,34,0,6148,8,6237,-40,6199,-39,6269,-6,6799,-20,7002,-20,30,7348,7348,30,-87,6096,-85,6196,-125,6047,-194,5491,-43,5310,7,5809,-65,6065,12,5977,-183,5890,-29,5684
2b,Other Financial Services1,482808,1198,-462,492504,195,484641,498,495358,493751,487,-564,451154,-3887,403695,404808,-1691,-4555,298039,-4555,-1484,293370,293370,-1484,-507,339448,-1360,296670,-2387,291329,3647,320595,2012,334971,-464,343298,-464,-98,345647,345647,-98,-788,357876,1200,370292,-426,361583,-1221,350337,1837,377262,1565,379219,4870,457156,5040,475934,3973,500711,2700,539905
