"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
" Ashiana Housing Limited","102352099","62658716","    61.22","39693383","0","     0.00","     0.00","20-Nov-2020 11:30:28","1184228","99739083","1.19"
"20 Microns Limited","35286502","15819019","    44.83","19467483","8500547","    53.74","    24.09","20-Nov-2020 11:30:25","10837678","35157864","30.83"
"21st Century Management Services Limited","10500000","6023444","    57.37","4476556","0","     0.00","     0.00","20-Nov-2020 11:30:10","405291","9458716","4.28"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","20-Nov-2020 11:30:10","148331","11206513","1.32"
"3P Land Holdings Limited","18000000","13059458","    72.55","4940542","0","     0.00","     0.00","20-Nov-2020 11:30:08","99432","17658160","0.56"
"3i Infotech Limited","1616654866","0","     0.00","1616654866","0",,"     0.00","20-Nov-2020 11:30:18","36080530","1610028115","2.24"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","20-Nov-2020 11:30:18","931194","46010949","2.02"
"8K Miles Software Services Limited","30517605","11646703","    38.16","18870902","1650000","    14.17","     5.41","20-Nov-2020 11:30:30","843345","30517431","2.76"
"A2Z Infra Engineering Limited","176119858","50446785","    28.64","125673073","49550601","    98.22","    28.13","20-Nov-2020 11:30:28","56625902","176114915","32.15"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","20-Nov-2020 11:30:08","667285","210394487","0.32"
"ACC Limited","187787263","102395120","    54.53","85392143","0","     0.00","     0.00","20-Nov-2020 11:30:03","769570","184771092","0.42"
"ADF Foods Limited","20022719","6616735","    33.05","13405984","0","     0.00","     0.00","20-Nov-2020 11:30:27","5353828","19362168","27.65"
"AGC Networks Limited","29815103","20554952","    68.94","9260151","2132035","    10.37","     7.15","20-Nov-2020 11:30:06","2292960","29467468","7.78"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","20-Nov-2020 11:30:19","159792","94320240","0.17"
"AMD Industries Limited","19166749","12773523","    66.64","6393226","0","     0.00","     0.00","20-Nov-2020 11:30:22","127805","19166565","0.67"
"ANDHRA PAPER LIMITED","39770039","28713400","    72.20","11056639","20282720","    70.64","    51.00","20-Nov-2020 11:30:10","21279837","39584842","53.76"
"APL Apollo Tubes Limited","24925379","9850387","    39.52","15074992","76000","     0.77","     0.30","20-Nov-2020 11:30:29","963834","24937448","3.87"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64","20-Nov-2020 11:30:26","3409355","22725239","15"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00","20-Nov-2020 11:30:20","208380","36530114","0.57"
"AU Small Finance Bank Limited","306535329","88899206","    29.00","217636123","0","     0.00","     0.00","20-Nov-2020 11:30:31","4749663","306539741","1.55"
"AVT Natural Products Limited","152284000","114155975","    74.96","38128025","0","     0.00","     0.00","20-Nov-2020 11:30:21","1163577","146233302","0.8"
"AXISCADES Engineering Technologies Limited","37759530","25656547","    67.95","12102983","17473900","    68.11","    46.28","20-Nov-2020 11:30:15","18602407","37719985","49.32"
"Aarti Drugs Limited","23300000","14028200","    60.21","9271800","0","     0.00","     0.00","20-Nov-2020 11:30:12","2746982","91833809","2.99"
"Aarti Industries Limited","174234474","82847805","    47.55","91386669","11190","     0.01","     0.01","20-Nov-2020 11:30:10","3817400","172885926","2.21"
"Aarvee Denims & Exports Limited","23459800","15436303","    65.80","8023497","8222515","    53.27","    35.05","20-Nov-2020 11:30:21","7990154","23025187","34.7"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91","20-Nov-2020 11:30:08","6600758","58098265","11.36"
"Abhishek Corporation Limited","16008462","9225416","    57.63","6783046","8164316","    88.50","    51.00","20-Nov-2020 11:30:22","8180116","16007902","51.1"
"Accelya Solutions India Limited","14926261","11143295","    74.66","3782966","0","     0.00","     0.00","20-Nov-2020 11:30:14","66936","14838306","0.45"
"Action Construction Equipment Limited","113483196","82865205","    73.02","30617991","0","     0.00","     0.00","20-Nov-2020 11:30:21","2904592","113449669","2.56"
"Adani Enterprises Limited","1099810083","823963481","    74.92","275846602","169971649","    20.63","    15.45","20-Nov-2020 11:30:06","176941854","1099550524","16.09"
"Adani Green Energy Limited","1564014280","1171710710","    74.92","392303570","66972171","     5.72","     4.28","20-Nov-2020 11:30:31","84927500","1563825393","5.43"
"Adani Ports and Special Economic Zone Limited","2031751761","1293306018","    63.65","738445743","399068389","    30.86","    19.64","20-Nov-2020 11:30:24","584718170","2031377556","28.78"
"Adani Power Limited","3856938941","2891612567","    74.97","965326374","869008587","    30.05","    22.53","20-Nov-2020 11:30:25","461206035","3856428537","11.96"
"Adani Transmission Limited","1099810083","823963481","    74.92","275846602","239869805","    29.11","    21.81","20-Nov-2020 11:30:30","325111051","1099529210","29.57"
"Adhunik Industries Limited","46763750","35054800","    74.96","11708950","23849513","    68.03","    51.00","20-Nov-2020 11:30:30","24128360","46763749","51.6"
"Aditya Birla Capital Limited","2414126632","1701288195","    70.47","712838437","0","     0.00","     0.00","20-Nov-2020 11:30:31","35867230","2383898871","1.5"
"Aditya Birla Fashion and Retail Limited","864244451","521219027","    60.31","343025424","0","     0.00","     0.00","20-Nov-2020 11:30:29","6400041","765268574","0.84"
"Aditya Birla Money Limited","56301357","41550000","    73.80","14751357","0","     0.00","     0.00","20-Nov-2020 11:30:24","797395","55355111","1.44"
"Ador Welding Limited","13598467","7716975","    56.75","5881492","0","     0.00","     0.00","20-Nov-2020 11:30:05","120370","13128024","0.92"
"Advanced Enzyme Technologies Limited","111678475","61922236","    55.45","49756239","0","     0.00","     0.00","20-Nov-2020 11:30:31","1181145","111129260","1.06"
"Advani Hotels & Resorts (India) Limited","46219250","23189002","    50.17","23030248","0","     0.00","     0.00","20-Nov-2020 11:30:07","336153","45417830","0.74"
"Aegis Logistics Limited","345333334","202676008","    58.69","142657326","0","     0.00","     0.00","20-Nov-2020 11:30:05","2651115","340142771","0.78"
"Agarwal Industrial Corporation Limited","10258747","6086392","    59.33","4172355","0","     0.00","     0.00","20-Nov-2020 11:30:30","417375","10248342","4.07"
"Agri-Tech (India) Limited","5940000","2700795","    45.47","3239205","0","     0.00","     0.00","20-Nov-2020 11:30:30","94654","5639655","1.68"
"Agro Phos India Limited","20274115","11002425","    54.27","9271690","1000000","     9.09","     4.93","20-Nov-2020 11:30:31","1523270","19799055","7.69"
"Agro Tech Foods Limited","24369264","13326282","    54.68","11042982","0","     0.00","     0.00","20-Nov-2020 11:30:05","909069","24175041","3.76"
"Ahluwalia Contracts (India) Limited","66987560","38855977","    58.00","28131583","15865380","    40.83","    23.68","20-Nov-2020 11:30:26","16114366","66922895","24.08"
"Ajanta Pharma Limited","87261270","61528601","    70.51","25732669","9879855","    16.06","    11.32","20-Nov-2020 11:30:15","10325607","87032217","11.86"
"Ajmera Realty & Infra India Limited","35484875","24111527","    67.95","11373348","1953900","     8.10","     5.51","20-Nov-2020 11:30:25","2811263","35439232","7.93"
"Aksh Optifibre Limited","162697971","45470335","    27.95","117227636","0","     0.00","     0.00","20-Nov-2020 11:30:15","6365657","162203151","3.92"
"Akzo Nobel India Limited","45540314","34044335","    74.76","11495979","0","     0.00","     0.00","20-Nov-2020 11:30:11","253934","44907770","0.57"
"Alankit Limited","142958100","101966776","    71.33","40991324","0","     0.00","     0.00","20-Nov-2020 11:30:30","1047462","141757260","0.74"
"Alchemist Limited","13559800","4738341","    34.94","8821459","0","     0.00","     0.00","20-Nov-2020 11:30:23","225474","12929262","1.74"
"Alembic Limited","256781828","180805962","    70.41","75975866","0","     0.00","     0.00","20-Nov-2020 11:30:14","3495536","252835017","1.38"
"Alembic Pharmaceuticals Limited","196563124","137145948","    69.77","59417176","0","     0.00","     0.00","20-Nov-2020 11:30:28","1840342","194776338","0.94"
"Alicon Castalloy Limited","13910121","8709938","    62.62","5200183","0","     0.00","     0.00","20-Nov-2020 11:30:21","141531","13860499","1.02"
"Alkali Metals Limited","10182506","7090842","    69.64","3091664","2130000","    30.04","    20.92","20-Nov-2020 11:30:25","2215554","10181996","21.76"
"Alkyl Amines Chemicals Limited","20410006","15132788","    74.14","5277218","0","     0.00","     0.00","20-Nov-2020 11:30:13","171965","20036910","0.86"
"Allcargo Logistics Limited","245695524","172022209","    70.01","73673315","0","     0.00","     0.00","20-Nov-2020 11:30:20","3716325","245628234","1.51"
"Allied Digital Services Limited","50205528","24825286","    49.45","25380242","0","     0.00","     0.00","20-Nov-2020 11:30:23","1116170","48665422","2.29"
"Allsec Technologies Limited","15238326","11182912","    73.39","4055414","0","     0.00","     0.00","20-Nov-2020 11:30:18","1185614","15238232","7.78"
"Almondz Global Securities Limited","25884967","14915549","    57.62","10969418","0","     0.00","     0.00","20-Nov-2020 11:30:25","258590","25752179","1"
"Alok Industries Limited","4965240401","3723845177","    75.00","1241395224",,,,"20-Nov-2020 11:30:31","71419187","2208193393","3.23"
"Alpa Laboratories Limited","21040600","11922210","    56.66","9118390","0","     0.00","     0.00","20-Nov-2020 11:30:23","303495","20902395","1.45"
"Alphageo (India) Limited","6364767","2911092","    45.74","3453675","280534","     9.64","     4.41","20-Nov-2020 11:30:23","779864","6278929","12.42"
"Alps Industries Limited","39114100","10586018","    27.06","28528082","4019018","    37.97","    10.28","20-Nov-2020 11:30:12","4625545","39042546","11.85"
"Amara Raja Batteries Limited","170812500","47932452","    28.06","122880048","0","     0.00","     0.00","20-Nov-2020 11:30:06","1036166","167968178","0.62"
"Ambica Agarbathies & Aroma industries Limited","17177430","8304827","    48.35","8872603",,,,"20-Nov-2020 11:30:17","52040","14193081","0.37"
"Ambika Cotton Mills Limited","5725000","2872350","    50.17","2852650","0","     0.00","     0.00","20-Nov-2020 11:30:24","129694","5691981","2.28"
"Ambuja Cements Limited","1985645229","1258122798","    63.36","727522431","0","     0.00","     0.00","20-Nov-2020 11:30:11","4318955","1973555847","0.22"
"Amit Spinning Industries Limited","41169667","20981077","    50.96","20188590","8233934","    39.24","    20.00","20-Nov-2020 11:30:19","8233934","39142447","21.04"
"Amj Land Holdings Limited","41000000","25402165","    61.96","15597835","0","     0.00","     0.00","20-Nov-2020 11:30:11","328434","40268575","0.82"
"Amrutanjan Health Care Limited","29230630","14622110","    50.02","14608520","0","     0.00","     0.00","20-Nov-2020 11:30:26","556111","28025663","1.98"
"Amtek Auto Limited","248255428","130080919","    52.40","118174509","0","     0.00","     0.00","20-Nov-2020 11:30:07","4877662","247947429","1.97"
"Anant Raj Limited","295096335","191623086","    64.94","103473249","0","     0.00","     0.00","20-Nov-2020 11:30:21","8439568","293850701","2.87"
"Andhra Cements Limited","293520492","201926406","    68.79","91594086","15144405","     7.50","     5.16","20-Nov-2020 11:30:27","153392288","284903798","53.84"
"Anik Industries Limited","27753486","13449379","    48.46","14304107","0","     0.00","     0.00","20-Nov-2020 11:30:06","472360","22136427","2.13"
"Ankit Metal & Power Limited","141110500","100215000","    71.02","40895500","100215000","   100.00","    71.02","20-Nov-2020 11:30:29","101057467","141108559","71.62"
"Ansal Housing Limited","59385828","31457930","    52.97","27927898","24303990","    77.26","    40.93","20-Nov-2020 11:30:21","24882666","57497619","43.28"
"Ansal Properties & Infrastructure Limited","157404876","76768484","    48.77","80636392","57883663","    75.40","    36.77","20-Nov-2020 11:30:05","64248245","156787465","40.98"
"Antarctica Limited","155009600","47717296","    30.78","107292304","0","     0.00","     0.00","20-Nov-2020 11:30:13","726549","104505195","0.7"
"Apar Industries Limited","38268619","22885064","    59.80","15383555","0","     0.00","     0.00","20-Nov-2020 11:30:17","492728","38144570","1.29"
"Apcotex Industries Limited","51844960","30132034","    58.12","21712926","0","     0.00","     0.00","20-Nov-2020 11:30:07","1028110","49733380","2.07"
"Apollo Hospitals Enterprise Limited","139125159","42875001","    30.82","96250158","14426976","    33.65","    10.37","20-Nov-2020 11:30:06","14721847","136973931","10.75"
"Apollo Micro Systems Limited","20763886","13276700","    63.94","7487186","800000","     6.03","     3.85","20-Nov-2020 11:30:31","1373896","20753878","6.62"
"Apollo Pipes Limited","13109402","6821400","    52.03","6288002","495000","     7.26","     3.78","20-Nov-2020 11:30:31","850081","13101752","6.49"
"Apollo Sindoori Hotels Limited","2600400","1681882","    64.68","918518","0","     0.00","     0.00","20-Nov-2020 11:30:30","21963","2460888","0.89"
"Apollo Tyres Limited","572049980","238858831","    41.75","333191149","33254080","    13.92","     5.81","20-Nov-2020 11:30:09","35943691","563873780","6.37"
"Aptech Limited","40278160","19717540","    48.95","20560620","0","     0.00","     0.00","20-Nov-2020 11:30:16","2472486","39935885","6.19"
"Archidply Industries Limited","22065000","16034645","    72.67","6030355","0","     0.00","     0.00","20-Nov-2020 11:30:25","344414","21994825","1.57"
"Archies Limited","33780000","20941447","    61.99","12838553","0","     0.00","     0.00","20-Nov-2020 11:30:13","1044859","33589485","3.11"
"Arcotech Limited","105000000","41960144","    39.96","63039856","19154794","    45.65","    18.24","20-Nov-2020 11:30:30","20305306","103660920","19.59"
"Aries Agro Limited","13004339","6847926","    52.66","6156413","0","     0.00","     0.00","20-Nov-2020 11:30:24","330187","12899338","2.56"
"Arihant Foundations & Housing Limited","8600000","3686700","    42.87","4913300","0","     0.00","     0.00","20-Nov-2020 11:30:21","111836","7201520","1.55"
"Aro Granite Industries Limited","15300000","6282856","    41.06","9017144","0","     0.00","     0.00","20-Nov-2020 11:30:23","145880","14954579","0.98"
"Arshiya Limited","258075915","126916225","    49.18","131159690","126916225","   100.00","    49.18","20-Nov-2020 11:30:26","131652851","257555039","51.12"
"Arvind Fashions Limited","98658711","39201557","    39.73","59457154","0","     0.00","     0.00","20-Nov-2020 11:30:31","1430789","98133409","1.46"
"Arvind Limited","258924069","115799622","    44.72","143124447","455000","     0.39","     0.18","20-Nov-2020 11:30:03","7980799","257017519","3.11"
"Arvind SmartSpaces Limited","35553550","20999170","    59.06","14554380","45500","     0.22","     0.13","20-Nov-2020 11:30:30","922401","35291870","2.61"
"Asahi India Glass Limited","243089931","131921528","    54.27","111168403","14659008","    11.11","     6.03","20-Nov-2020 11:30:13","25318059","238867337","10.6"
"Asahi Songwon Colors Limited","12272262","8171307","    66.58","4100955","0","     0.00","     0.00","20-Nov-2020 11:30:28","158610","12270163","1.29"
"Ashapura Intimates Fashion Limited","25211406","3720692","    14.76","21490714","1924631","    51.73","     7.63","20-Nov-2020 11:30:30","2505249","25184590","9.95"
"Ashapura Minechem Limited","86986098","35110126","    40.36","51875972","22740174","    64.77","    26.14","20-Nov-2020 11:30:12","25258140","86717855","29.13"
"Ashima Limited","128453876","78251745","    60.92","50202131","0","     0.00","     0.00","20-Nov-2020 11:30:06","2102172","52474392","4.01"
"Ashok Leyland Limited","2935527276","1524618261","    51.94","1410909015","163200000","    10.70","     5.56","20-Nov-2020 11:30:04","191171461","2923007710","6.54"
"Ashoka Buildcon Limited","280723217","152933177","    54.48","127790040","0","     0.00","     0.00","20-Nov-2020 11:30:27","7398238","280723210","2.64"
"Asian Granito India Limited","30837446","10254904","    33.25","20582542","0","     0.00","     0.00","20-Nov-2020 11:30:23","3793235","30086963","12.61"
"Asian Hotels (East) Limited","11527797","7566120","    65.63","3961677","0","     0.00","     0.00","20-Nov-2020 11:30:27","831924","11347650","7.33"
"Asian Hotels (North) Limited","19453229","11279616","    57.98","8173613","11248016","    99.72","    57.82","20-Nov-2020 11:30:26","1541636","19282872","7.99"
"Asian Paints Limited","959197790","506384654","    52.79","452813136","60071264","    11.86","     6.26","20-Nov-2020 11:30:05","63921757","951747522","6.72"
"Astec LifeSciences Limited","19578355","13697003","    69.96","5881352","0","     0.00","     0.00","20-Nov-2020 11:30:26","1653446","19577849","8.45"
"Astra Microwave Products Limited","86611675","8686174","    10.03","77925501","0","     0.00","     0.00","20-Nov-2020 11:30:17","12372585","86117340","14.37"
"AstraZeneca Pharma India Limited","25000000","18750000","    75.00","6250000","0","     0.00","     0.00","20-Nov-2020 11:30:13","427492","24778663","1.73"
"Astral Poly Technik Limited","150671516","83982322","    55.74","66689194","0","     0.00","     0.00","20-Nov-2020 11:30:22","925637","150662996","0.61"
"Astron Paper & Board Mill Limited","46500000","21358250","    45.93","25141750","3100000","    14.51","     6.67","20-Nov-2020 11:30:31","5885234","46499690","12.66"
"Atcom Technologies Limited","15340000","2163600","    14.10","13176400","1371500","    63.39","     8.94","20-Nov-2020 11:30:11","1492390","14165039","10.54"
"Atlanta  Limited","81500000","50748922","    62.27","30751078","34032116","    67.06","    41.76","20-Nov-2020 11:30:21","34713007","81499980","42.59"
"Atlas Cycles (Haryana) Limited","6503838","2739500","    42.12","3764338","0","     0.00","     0.00","20-Nov-2020 11:30:13","189558","6215194","3.05"
"Atul Limited","29661733","13290244","    44.81","16371489","700000","     5.27","     2.36","20-Nov-2020 11:30:03","656410","29215531","2.25"
"Aurionpro Solutions Limited","22800165","6589597","    28.90","16210568","4190000","    63.59","    18.38","20-Nov-2020 11:30:19","4840390","22155204","21.85"
"Aurobindo Pharma Limited","585938609","304765471","    52.01","281173138","28468000","     9.34","     4.86","20-Nov-2020 11:30:09","38636264","584679866","6.61"
"Ausom Enterprise Limited","13623552","10040000","    73.70","3583552","0","     0.00","     0.00","20-Nov-2020 11:30:12","144889","12693879","1.14"
"Austral Coke & Projects Limited","290296040","60573004","    20.87","229723036","0","     0.00","     0.00","20-Nov-2020 11:30:25","2089322","290289471","0.72"
"Autoline Industries Limited","28260462","9261258","    32.77","18999204","1234000","    13.32","     4.37","20-Nov-2020 11:30:22","1885039","26920430","7"
"Autolite (India) Limited","11181241","6053649","    54.14","5127592","0","     0.00","     0.00","20-Nov-2020 11:30:11","534399","10742297","4.97"
"Automotive Axles Limited","15111975","10735081","    71.04","4376894","0","     0.00","     0.00","20-Nov-2020 11:30:12","189668","15049586","1.26"
"Automotive Stampings and Assemblies Limited","15864397","11898296","    75.00","3966101","0","     0.00","     0.00","20-Nov-2020 11:30:16","131573","15838899","0.83"
"Autoriders Finance Limited","13107000","5050400","    38.53","8056600","0","     0.00","     0.00","20-Nov-2020 11:30:08","37032","11450375","0.32"
"Avadh Sugar & Energy Limited","20018420","12081672","    60.35","7936748","2879682","    23.84","    14.39","20-Nov-2020 11:30:31","3521676","19852817","17.74"
"Avanti Feeds Limited","136245630","59523349","    43.69","76722281","0","     0.00","     0.00","20-Nov-2020 11:30:30","2971597","134900774","2.2"
"Axis Bank Limited","3060161084","506830976","    16.56","2553330108","0","     0.00","     0.00","20-Nov-2020 11:30:14","22424185","3056078663","0.73"
"B. L. Kashyap and Sons Limited","225440000","138639565","    61.50","86800435","138233158","    99.71","    61.32","20-Nov-2020 11:30:20","141834815","225432480","62.92"
"B.A.G Films and Media Limited","197918090","92748182","    46.86","105169908","0","     0.00","     0.00","20-Nov-2020 11:30:16","1425176","197463796","0.72"
"BASF India Limited","43285640","31743220","    73.33","11542420","0","     0.00","     0.00","20-Nov-2020 11:30:03","1461711","42879695","3.41"
"BEML Limited","41644500","22500000","    54.03","19144500","0","     0.00","     0.00","20-Nov-2020 11:30:05","1528205","41536107","3.68"
"BF Investment Limited","37667628","27640976","    73.38","10026652","0","     0.00","     0.00","20-Nov-2020 11:30:28","269023","37030885","0.73"
"BF Utilities Limited","37667628","21090015","    55.99","16577613","0","     0.00","     0.00","20-Nov-2020 11:30:23","2243265","37047416","6.06"
"BGR Energy Systems Limited","72161560","54121170","    75.00","18040390","0","     0.00","     0.00","20-Nov-2020 11:30:24","1173691","72161029","1.63"
"BIRLASOFT LIMITED","277111675","114028090","    41.15","163083585","0","     0.00","     0.00","20-Nov-2020 11:30:14","6638604","276276972","2.4"
"BLB Limited","52865258","36443003","    68.94","16422255","0","     0.00","     0.00","20-Nov-2020 11:30:15","107137","52534179","0.2"
"BS Limited","441683580","227502303","    51.51","214181277","124506403","    54.73","    28.19","20-Nov-2020 11:30:27","127206240","441661326","28.8"
"BSEL Infrastructure Realty Limited","82616840","19653889","    23.79","62962951","0","     0.00","     0.00","20-Nov-2020 11:30:15","2170670","82521477","2.63"
"BSL Limited","10292168","5809072","    56.44","4483096","0","     0.00","     0.00","20-Nov-2020 11:30:07","143815","9846061","1.46"
"Bafna Pharmaceuticals Limited","23656335","21915205","    92.64","1741130","318254","     1.45","     1.35","20-Nov-2020 11:30:31","456430","23648295","1.93"
"Bajaj Auto Limited","289367020","155374904","    53.69","133992116","13822","     0.01","     0.00","20-Nov-2020 11:30:25","2217712","272307481","0.81"
"Bajaj Consumer Care Limited","147540159","56125000","    38.04","91415159","0","     0.00","     0.00","20-Nov-2020 11:30:27","2588601","147537683","1.75"
"Bajaj Electricals Limited","113862614","71870858","    63.12","41991756","0","     0.00","     0.00","20-Nov-2020 11:30:24","372033","112237654","0.33"
"Bajaj Finance Limited","602587339","340083519","    56.44","262503820",,,,"20-Nov-2020 11:30:11","5701256","601732299","0.95"
"Bajaj Finserv Limited","159137444","97056868","    60.99","62080576","10036","     0.01","     0.01","20-Nov-2020 11:30:25","1402720","149811386","0.94"
"Bajaj Hindusthan Sugar Limited","1133559942","176723422","    15.59","956836520","174943422","    98.99","    15.43","20-Nov-2020 11:30:06","202236427","1132714385","17.85"
"Bajaj Holdings & Investment Limited","111293510","55577458","    49.94","55716052","0","     0.00","     0.00","20-Nov-2020 11:30:04","1392361","102563017","1.36"
"Bal Pharma Limited","14172372","6016482","    42.45","8155890","0","     0.00","     0.00","20-Nov-2020 11:30:20","132485","13937014","0.95"
"Balaji Amines Limited","32401000","17398540","    53.70","15002460","0","     0.00","     0.00","20-Nov-2020 11:30:22","705931","32039410","2.2"
"Balaji Telefilms Limited","101130443","34732876","    34.34","66397567",,,,"20-Nov-2020 11:30:15","3347917","101125905","3.31"
"Balkrishna Industries Limited","193317190","112696020","    58.30","80621170","0","     0.00","     0.00","20-Nov-2020 11:30:06","939698","192481167","0.49"
"Ballarpur Industries Limited","1293455756","34614158","     2.68","1258841598","33292510","    96.18","     2.57","20-Nov-2020 11:30:25","49948395","1285534853","3.89"
"Balmer Lawrie & Company Limited","171003846","0","     0.00","171003846","0",,"     0.00","20-Nov-2020 11:30:05","4002238","168645808","2.37"
"Balrampur Chini Mills Limited","210000000","86545753","    41.21","123454247","0","     0.00","     0.00","20-Nov-2020 11:30:05","6851656","209175281","3.28"
"Banaras Beads Limited","6636222","3835592","    57.80","2800630",,,,"20-Nov-2020 11:30:09","22793","6362567","0.36"
"Banco Products (I) Limited","71518650","48549992","    67.88","22968658",,,,"20-Nov-2020 11:30:09","1102859","70666530","1.56"
"Bang Overseas Limited","13560000","9896384","    72.98","3663616","0","     0.00","     0.00","20-Nov-2020 11:30:24","158268","13438135","1.18"
"Bank Of Baroda","4620566586","3308184689","    71.60","1312381897","0","     0.00","     0.00","20-Nov-2020 11:30:13","52114332","4584299446","1.14"
"Bank Of India","3276923350","2919690866","    89.10","357232484","0","     0.00","     0.00","20-Nov-2020 11:30:13","11464085","3263203636","0.35"
"Bank of Maharashtra","6560158901","6122627927","    93.33","437530974","0","     0.00","     0.00","20-Nov-2020 11:30:17","13899579","6553288142","0.21"
"Bannari Amman Spinning Mills Limited","15754269","8751250","    55.55","7003019","0","     0.00","     0.00","20-Nov-2020 11:30:19","114577","15753411","0.73"
"Bannari Amman Sugars Limited","12539700","7360276","    58.70","5179424","0","     0.00","     0.00","20-Nov-2020 11:30:06","555376","12265750","4.53"
"Banswara Syntex Limited","17116042","10076001","    58.87","7040041","0","     0.00","     0.00","20-Nov-2020 11:30:22","242191","16844642","1.44"
"Barak Valley Cements Limited","22160000","12517127","    56.49","9642873","0","     0.00","     0.00","20-Nov-2020 11:30:24","72347","21487994","0.34"
"Bartronics India Limited","34048861","3591187","    10.55","30457674","15000","     0.42","     0.04","20-Nov-2020 11:30:19","790219","34048649","2.32"
"Bata India Limited","128527540","68065514","    52.96","60462026","0","     0.00","     0.00","20-Nov-2020 11:30:05","1076353","127503795","0.84"
"Beardsell Limited","28099008","18047202","    64.23","10051806","0","     0.00","     0.00","20-Nov-2020 11:30:26","65752","25636508","0.26"
"Bedmutha Industries Limited","24531611","17496105","    71.32","7035506","7150749","    40.87","    29.15","20-Nov-2020 11:30:27","7638420","24515608","31.16"
"Berger Paints (I) Limited","971219780","728319701","    74.99","242900079","0","     0.00","     0.00","20-Nov-2020 11:30:06","2701934","963644810","0.28"
"Bhansali Engineering Polymers Limited","165905640","93652000","    56.45","72253640","0","     0.00","     0.00","20-Nov-2020 11:30:09","7283997","162333115","4.49"
"Bharat Bijlee Limited","5651560","1890459","    33.45","3761101","0","     0.00","     0.00","20-Nov-2020 11:30:08","720753","5593902","12.88"
"Bharat Electronics Limited","2436592943","1245973978","    51.14","1190618965","0","     0.00","     0.00","20-Nov-2020 11:30:11","17316127","2436330936","0.71"
"Bharat Forge Limited","465588632","213062640","    45.76","252525992","0","     0.00","     0.00","20-Nov-2020 11:30:03","3497335","451579407","0.77"
"Bharat Gears Limited","9306095","5148185","    55.32","4157910","0","     0.00","     0.00","20-Nov-2020 11:30:11","148442","9213271","1.61"
"Bharat Heavy Electricals Limited","3482063355","2199650402","    63.17","1282412953","0","     0.00","     0.00","20-Nov-2020 11:30:11","91482709","3480856415","2.63"
"Bharat Petroleum Corporation Limited","2169252744","1149183592","    52.98","1020069152","0","     0.00","     0.00","20-Nov-2020 11:30:03","12867226","2147287883","0.6"
"Bharat Rasayan Limited","4248740","3179204","    74.83","1069536","0","     0.00","     0.00","20-Nov-2020 11:30:07","49332","4141923","1.19"
"Bharat Road Network Limited","83950000","45129800","    53.76","38820200","9999400","    22.16","    11.91","20-Nov-2020 11:30:31","15360960","83950000","18.3"
"Bharat Wire Ropes Limited","44952248","18084858","    40.23","26867390","12700000","    70.22","    28.25","20-Nov-2020 11:30:30","14316496","44952241","31.85"
"Bharati Defence and Infrastructure Limited","50298942","20412281","    40.58","29886661","20412281","   100.00","    40.58","20-Nov-2020 11:30:18","21172268","50297161","42.09"
"Bharatiya Global Infomedia Limited","15843110","7735778","    48.83","8107332","5059335","    65.40","    31.93","20-Nov-2020 11:30:28","140055","15131359","0.93"
"Bharti Airtel Limited","5455557355","3069110668","    56.26","2386446687","0","     0.00","     0.00","20-Nov-2020 11:30:16","26418039","5455553740","0.48"
"Bharti Infratel Limited","1849608246","989851353","    53.52","859756893","0","     0.00","     0.00","20-Nov-2020 11:30:29","2681741","1849607051","0.14"
"Bhartiya International Limited","12201869","7001649","    57.38","5200220","0","     0.00","     0.00","20-Nov-2020 11:30:15","413505","12089908","3.42"
"Bil Energy Systems Limited","211416000","98931240","    46.79","112484760","64299720","    64.99","    30.41","20-Nov-2020 11:30:28","73894510","210681680","35.07"
"Bilpower  Limited","21001600","3488118","    16.61","17513482","3200000","    91.74","    15.24","20-Nov-2020 11:30:22","3961048","20914701","18.94"
"Binani Industries Limited","31366175","16503654","    52.62","14862521",,,,"20-Nov-2020 11:30:21","486531","29808593","1.63"
"Biocon Limited","1200000000","740309127","    61.69","459690873","0","     0.00","     0.00","20-Nov-2020 11:30:17","11270577","1197255319","0.94"
