"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Kansai Nerolac Paints Limited","538919720","404135898","    74.99","134783822","0","     0.00","     0.00","20-Nov-2020 11:30:10","1057280","536488780","0.2"
"Kapston Facilities Management Limited","10144061","7391695","    72.87","2752366","5173471","    69.99","    51.00","20-Nov-2020 11:30:31","5177769","10144061","51.04"
"Karma Energy Limited","11569918","8643046","    74.70","2926872","0","     0.00","     0.00","20-Nov-2020 11:30:28","211165","11327445","1.86"
"Karur Vysya Bank Limited","799320719","16852753","     2.11","782467966","2481433","    14.72","     0.31","20-Nov-2020 11:30:07","60648783","784656661","7.73"
"Karuturi Global Limited","1497531526","366473963","    24.47","1131057563","10000000","     2.73","     0.67","20-Nov-2020 11:30:23","19662465","1016478841","1.93"
"Kaushalya Infrastructure Development Corporation Limited","34630630","17806474","    51.42","16824156","1275880","     7.17","     3.68","20-Nov-2020 11:30:24","1315511","34630070","3.8"
"Kaveri Seed Company Limited","60329133","34376634","    56.98","25952499","0","     0.00","     0.00","20-Nov-2020 11:30:23","795173","60329112","1.32"
"Kavveri Telecom Products Limited","20124260","3045931","    15.14","17078329","1050000","    34.47","     5.22","20-Nov-2020 11:30:24","1065346","20052898","5.31"
"Kellton Tech Solutions Limited","96382468","56832124","    58.97","39550344","18350000","    32.29","    19.04","20-Nov-2020 11:30:30","15286985","95687836","15.98"
"Kernex Microsystems (India) Limited","12499655","2792245","    22.34","9707410","0","     0.00","     0.00","20-Nov-2020 11:30:19","242364","11925762","2.03"
"Kesoram Industries Limited","142590079","75761340","    53.13","66828739","33959679","    44.82","    23.82","20-Nov-2020 11:30:12","49832900","141697045","35.17"
"Kewal Kiran Clothing Limited","12325037","9151473","    74.25","3173564","0","     0.00","     0.00","20-Nov-2020 11:30:20","35006","12324978","0.28"
"Keynote Financial Services Limited","7018339","4062218","    57.88","2956121","0","     0.00","     0.00","20-Nov-2020 11:30:12","21449","6894130","0.31"
"Khaitan (India) Limited","4750000","2861630","    60.24","1888370","940000","    32.85","    19.79","20-Nov-2020 11:30:12","981123","4321312","22.7"
"Khandwala Securities Limited","11939000","7235206","    60.60","4703794","1733321","    23.96","    14.52","20-Nov-2020 11:30:15","1781398","11821073","15.07"
"Kilitch Drugs (India) Limited","15479073","10634173","    68.70","4844900","103300","     0.97","     0.67","20-Nov-2020 11:30:27","113801","15068444","0.76"
"Kiri Industries Limited","33620646","14215878","    42.28","19404768","59573","     0.42","     0.18","20-Nov-2020 11:30:25","2039560","33583591","6.07"
"Kirloskar Brothers Limited","79408926","52371675","    65.95","27037251","0","     0.00","     0.00","20-Nov-2020 11:30:26","1495179","77657498","1.93"
"Kirloskar Electric Company Limited","66414071","32882117","    49.51","33531954","27751674","    84.40","    41.79","20-Nov-2020 11:30:03","29075809","63000664","46.15"
"Kirloskar Industries Limited","9708619","7098178","    73.11","2610441","0","     0.00","     0.00","20-Nov-2020 11:30:27","64678","9597174","0.67"
"Kirloskar Oil Engines Limited","144613861","85962905","    59.44","58650956","0","     0.00","     0.00","20-Nov-2020 11:30:28","1869271","139197738","1.34"
"Kitex Garments Limited","66500000","36956817","    55.57","29543183","0","     0.00","     0.00","20-Nov-2020 11:30:29","1998637","64982820","3.08"
"Kohinoor Foods Limited","37071530","20225240","    54.56","16846290","0","     0.00","     0.00","20-Nov-2020 11:30:06","248556","34814359","0.71"
"Kokuyo Camlin Limited","100303806","75215950","    74.99","25087856","0","     0.00","     0.00","20-Nov-2020 11:30:14","1615686","99118517","1.63"
"Kolte - Patil Developers Limited","76004409","56582478","    74.45","19421931","0","     0.00","     0.00","20-Nov-2020 11:30:24","886139","76003995","1.17"
"Kopran Limited","43252602","18934203","    43.78","24318399","0","     0.00","     0.00","20-Nov-2020 11:30:11","1260566","42953796","2.93"
"Kotak Mahindra Bank Limited","1979207809","515667264","    26.05","1463540545","0","     0.00","     0.00","20-Nov-2020 11:30:10","12445495","1974354040","0.63"
"Kothari Petrochemicals Limited","58846400","41772005","    70.98","17074395","0","     0.00","     0.00","20-Nov-2020 11:30:13","954010","57394468","1.66"
"Kothari Products Limited","29843865","22380155","    74.99","7463710","0","     0.00","     0.00","20-Nov-2020 11:30:13","144463","29570483","0.49"
"Kothari Sugars And Chemicals Limited","82888580","60947600","    73.53","21940980","0","     0.00","     0.00","20-Nov-2020 11:30:18","1088850","82800506","1.32"
"Krebs Biochemicals and Industries Limited","19620586","13743425","    70.05","5877161","0","     0.00","     0.00","20-Nov-2020 11:30:08","277690","18966655","1.46"
"Kridhan Infra Limited","94779205","44691160","    47.15","50088045","0","     0.00","     0.00","20-Nov-2020 11:30:30","2609198","94714180","2.75"
"Ksb Limited","34807844","23114306","    66.41","11693538","0","     0.00","     0.00","20-Nov-2020 11:30:11","171817","34526663","0.5"
"Kuantum Papers Limited","87263630","61350690","    70.30","25912940","0","     0.00","     0.00","20-Nov-2020 11:30:31","7651993","84473470","9.06"
"L&T Finance Holdings Limited","2006532602","1277520203","    63.67","729012399","0","     0.00","     0.00","20-Nov-2020 11:30:28","33916940","2006974374","1.69"
"LCC Infotech Limited","126593350","58131011","    45.92","68462339",,,,"20-Nov-2020 11:30:14","455311","124763994","0.36"
"LEEL Electricals Limited","40332260","16982801","    42.11","23349459","84411","     0.50","     0.21","20-Nov-2020 11:30:13","698091","40117590","1.74"
